Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
224.02,-1.6 MHz,82.5,KA4YMZ,Dallas,NC,OPEN,FM,72.6,NNE,ON-AIR
444.45,+5 MHz,82.5 / 82.5,W4CQ,Dallas,NC,OPEN,FM,72.6,NNE,Unknown status
147.345,+0.6 MHz,91.5,WR4SC,Beech Island,SC,OPEN,FM,73.56,S,ON-AIR
443.125,+5 MHz,91.5,WR4SC,Beech Island,SC,OPEN,FM,73.56,S,ON-AIR
145.27,-0.6 MHz,91.5,WA4KNI,"Hendersonville, Bearwallow Mountain",NC,OPEN,FM,73.75,NNW,ON-AIR
442.9625,+5 MHz,,NC4BS,Bearwallow Mountain,NC,OPEN,DSTAR,73.77,NNW,ON-AIR
146.64,-0.6 MHz,91.5,WB4YAO,Hendersonville,NC,OPEN,FM,73.81,NNW,ON-AIR
147.105,+0.6 MHz,91.5 / 79.7,WA4KNI,Hendersonville,NC,OPEN,FM EchoLink,73.81,NNW,ON-AIR
444.25,+5 MHz,91.5,WA4KNI,"Hendersonville, Bearwallow Mtn",NC,OPEN,FM,73.85,NNW,ON-AIR
145.35,-0.6 MHz,82.5 / 82.5,K4ITL,Dallas,NC,OPEN,FM,73.96,NNE,ON-AIR
444.175,+5 MHz,110.9,N4HRS,Charlotte,NC,OPEN,FM,75.08,NE,ON-AIR
442.2,+5 MHz,123.0 / 123.0,KJ4YLO,"Mountain Rest, Oconee State Park",SC,OPEN,FM Fusion,75.12,WNW,ON-AIR
147.03,-0.6 MHz,123.0 / 123.0,KJ4YLP,"Mountain Rest, Long Mtn",SC,OPEN,FM,75.13,WNW,ON-AIR
145.29,-0.6 MHz,162.2 / 162.2,K4WD,"Walhalla, Long Mountain",SC,OPEN,FM EchoLink,75.17,WNW,ON-AIR
147.015,+0.6 MHz,141.3 / 141.3,NC4LC,Lincolnton,NC,OPEN,FM,77.78,NNE,ON-AIR
442.35,+5 MHz,141.3 / 141.3,WA4YGD,Lincolnton,NC,OPEN,FM,77.78,NNE,ON-AIR
442.775,+5 MHz,127.3,N4LRD,"Mountain Rest, Long Mtn",SC,OPEN,FM EchoLink,77.83,WNW,ON-AIR
444.1125,+5 MHz,CC1 NAC 293 167.9,W4PFT,"Carnesville, Water Tower",GA,OPEN,FM DMR P-25,77.86,W,ON-AIR
146.895,-0.6 MHz,100,W4CMB,Carnesville,GA,OPEN,FM,77.86,W,ON-AIR
147.045,+0.6 MHz,127.3,NA4CC,"Connelly Springs, South Mountain",NC,OPEN,FM EchoLink,77.99,N,Unknown status
444.675,+5 MHz,CSQ / CSQ,W4WBT,"Charlotte, Two Wells Fargo Center",NC,OPEN,FM,78.3,NE,ON-AIR
147.06,-0.6 MHz,CSQ / CSQ,WB4ETF,Charlotte,NC,OPEN,FM,78.34,NE,ON-AIR
442.125,+5 MHz,156.7 / 156.7,W4FTK,Charlotte,NC,OPEN,FM AllStar EchoLink,78.51,NE,ON-AIR
145.29,-0.6 MHz,118.8 / 118.8,W4BFB,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
224.4,-1.6 MHz,,W4BFB,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
443.95,+5 MHz,,KD4OWV,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
444.05,+5 MHz,136.5,K4CBA,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
444.35,+5 MHz,151.4,K4KAY,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
444.475,+5 MHz,100,KI4PJL,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
444.6,+5 MHz,118.8,W4BFB,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
444.95,+5 MHz,136.5 / 136.5,WA1WXL,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
927.6125,-25 MHz,118.8,K4KAY,Charlotte,NC,OPEN,FM,78.51,NE,ON-AIR
442.575,+5 MHz,82.5,NA4CC,"Connelly Springs, South Mountain",NC,OPEN,FM EchoLink,79.56,N,ON-AIR
147.09,+0.6 MHz,156.7,KJ4QLH,Neeses,SC,OPEN,FM,79.83,SE,OFF-AIR
146.745,-0.6 MHz,94.8,KC4QPR,"Morganton, Walker Top Mountain",NC,OPEN,FM,81.58,N,ON-AIR
442.3,+5 MHz,CC1,KC4QPR,"Morganton, Walker Top",NC,OPEN,DMR,81.58,N,OFF-AIR
444.2,+5 MHz,100.0 / 100.0,K4ENR,"Vale, Maiden Rescue Squad (West)",NC,OPEN,FM Fusion,82.34,NNE,Unknown status
444.85,+5 MHz,CC1,WD4PVE,"Marion, Grant's Mountain",NC,OPEN,DMR,82.49,N,ON-AIR
146.76,-0.6 MHz,,N2GE,"Canton, Mount Pisgah",NC,OPEN,FM,82.87,NW,ON-AIR
224.26,-1.6 MHz,,N2GE,"Canton, Mount Pisgah",NC,OPEN,FM,82.87,NW,ON-AIR
145.39,-0.6 MHz,94.8 / 94.8,NC4UC,Monroe,NC,OPEN,FM Fusion,83.27,E,OFF-AIR
444.3,+5 MHz,100.0 / 100.0,W4ZO,Monroe,NC,OPEN,FM,83.27,E,ON-AIR
444.425,+5 MHz,94.8,NC4UC,Monroe,NC,OPEN,FM,83.27,E,ON-AIR
444.6,+5 MHz,CC1,KD4CED,"Cashiers, Big Sheepcliff",NC,OPEN,DMR,83.33,NW,ON-AIR
145.35,-0.6 MHz,100.0 / 100.0,KD4CED,"Cashiers, Big Sheepcliff",NC,OPEN,FM,83.33,NW,ON-AIR
145.25,-0.6 MHz,71.9,K4TRS,"Toccoa, Toccoa Falls",GA,OPEN,FM EchoLink,83.33,W,ON-AIR
147.33,+0.6 MHz,127.3,KR4CW,"Toccoa, Toccoa Falls",GA,OPEN,FM,83.33,W,ON-AIR
441.925,+5 MHz,100,KI4AEM,"Toccoa, Toccoa Falls",GA,OPEN,FM,83.33,W,ON-AIR
224.52,-1.6 MHz,91.5,W4MOE,"Asheville, Stradley Mountain",NC,OPEN,FM,83.39,NNW,ON-AIR
146.67,-0.6 MHz,156.7 / 156.7,AD4U,St Matthews,SC,OPEN,FM,83.83,SE,ON-AIR
442.4125,+5 MHz,CC1,W4ZO,Charlotte,NC,OPEN,DMR,83.9,NE,ON-AIR
146.94,-0.6 MHz,118.8 / 118.8,W4BFB,Charlotte,NC,OPEN,FM,83.92,NE,Unknown status
146.985,-0.6 MHz,118.8,WD4PVE,Marion,NC,OPEN,FM,84.29,N,ON-AIR
145.45,-0.6 MHz,123.0 / 123.0,W4ZKM,"Jackson , SRS “C” Road near Central Shops",SC,OPEN,FM,84.38,S,ON-AIR
444.65,+5 MHz,167.9 / 167.9,WD4NFT,"Highlands, Big Bearpen Mountain",NC,OPEN,FM,84.85,WNW,ON-AIR
442.15,+5 MHz,94.8,KE4MU,Asheville,NC,OPEN,FM,84.91,NNW,ON-AIR
53.37,-1.0 MHz,100,W4JMY,Pageland,SC,OPEN,FM,85.12,E,OFF-AIR
146.895,-0.6 MHz,123,W4APE,Pageland,SC,OPEN,FM EchoLink,85.12,E,OFF-AIR
145.17,-0.6 MHz,88.5 / 88.5,KT4NC,Maiden,NC,OPEN,FM,85.2,NNE,ON-AIR
442.725,+5 MHz,110.9 / 110.9,KD4ADL,Charlotte,NC,OPEN,FM,86.06,NE,ON-AIR
147.44,0 MHz,,KO4T,"Morganton, Salem Community",NC,OPEN,DSTAR,86.33,N,ON-AIR
444.025,+5 MHz,CC1 NAC,KI4WXS,"Charlotte, Hood Road",NC,OPEN,DMR DSTAR P-25 Fusion,86.38,NE,ON-AIR
145.14,-0.6 MHz,,KI4WXS,"Charlotte, Charlotte Hood Road",NC,OPEN,DSTAR,86.39,NE,ON-AIR
443.1,+5 MHz,,KI4WXS,Charlotte,NC,OPEN,Fusion WIRES-X,86.39,NE,ON-AIR
442.425,+5 MHz,D053 / D053,AC4JK,Asheville,NC,OPEN,FM Fusion,86.72,NNW,ON-AIR
442.65,+5 MHz,NAC 293 88.5 / 88.5,W0UNC,"Charlotte, Atkins Library at UNC Charlotte",NC,OPEN,FM EchoLink P-25,86.78,NE,ON-AIR
53.27,-1.0 MHz,100,WD4BQW,Asheville,NC,OPEN,FM,87.14,NNW,ON-AIR
146.835,-0.6 MHz,,WB4PLA,Asheville,NC,OPEN,FM,87.14,NNW,ON-AIR
224.6,-1.6 MHz,94.8,KI4DNY,Asheville,NC,OPEN,FM,87.14,NNW,ON-AIR
442.55,+5 MHz,CC1,WA4TOG,Asheville,NC,OPEN,DMR,87.14,NNW,ON-AIR
442.65,+5 MHz,100,K4HCU,"Asheville, Spivey Mountain",NC,OPEN,FM,87.14,NNW,ON-AIR
443.275,+5 MHz,103.5,KF4TLA,Asheville,NC,OPEN,FM,87.14,NNW,OFF-AIR
443.225,+5 MHz,110.9,W8EMX,Huntersville,NC,OPEN,FM,87.45,NE,ON-AIR
444.075,+5 MHz,100.0 / 100.0,KC4IRA,"Maiden, Anderson Mountain",NC,OPEN,FM,87.47,NNE,ON-AIR
146.88,-0.6 MHz,123.0 / 123.0,WR4SC,Orangeburg,SC,OPEN,FM,87.83,SE,ON-AIR
440.5875,+5 MHz,CC1,WR4SC,Orangeburg,SC,OPEN,DMR,87.83,SE,ON-AIR
441.75,+5 MHz,123,WR4SC,Orangeburg,SC,OPEN,FM,87.83,SE,ON-AIR
147.06,+0.6 MHz,D315 / D315,W4FTK,Wedgefield,SC,OPEN,FM AllStar EchoLink,87.85,SE,ON-AIR
145.21,-0.6 MHz,94.8,K4OLC,"Morganton, High Peak Mountain",NC,OPEN,FM,87.92,N,ON-AIR
147.15,+0.6 MHz,94.8 / CSQ,KM4VIQ,"Morganton, High Peak",NC,OPEN,FM,87.97,N,Testing
444.65,+5 MHz,D315 / D315,W4FTK,"Denver, Anderson Mountain",NC,OPEN,FM AllStar EchoLink,87.98,NNE,ON-AIR
443.95,+5 MHz,110.9 / 110.9,N4HRS,Wingate,NC,OPEN,FM,88.42,E,ON-AIR
444.3875,+5 MHz,CC1,W4ZO,Wingate,NC,OPEN,DMR,88.42,E,ON-AIR
444.8625,+5 MHz,,W4FAN,Wingate,NC,OPEN,DSTAR,88.42,E,ON-AIR
146.925,-0.6 MHz,123,W4APE,Lucknow,SC,OPEN,FM EchoLink,88.49,ESE,OFF-AIR
146.805,-0.6 MHz,156.7 / 156.7,KJ4QLH,Orangeburg,SC,OPEN,FM,88.66,SE,ON-AIR
443.8,+5.025 MHz,,KC4QZL,Morganton,NC,OPEN,FM,88.84,N,ON-AIR
444.625,+5 MHz,110.9 / 110.9,N4HRS,"Morganton, Jonas Ridge",NC,OPEN,FM,88.84,N,ON-AIR
444.825,+5 MHz,110.9,KD4ADL,Fairview,NC,OPEN,FM,88.84,E,ON-AIR
146.91,-0.6 MHz,91.5,W4MOE,"Asheville, Spivey Mountain",NC,OPEN,FM,88.9,NNW,ON-AIR
224.78,-1.6 MHz,,KO4BR,Orangeburg,SC,OPEN,FM,89.27,SE,ON-AIR
444.975,+5 MHz,,AD4U,Orangeburg,SC,OPEN,FM,89.27,SE,OFF-AIR
449.25,-5 MHz,156.7,KK4BQ,Barnwell,SC,OPEN,FM,89.62,SSE,Unknown status
147.375,+0.6 MHz,91.5,KK4BQ,Barnwell,SC,OPEN,FM,89.62,SSE,ON-AIR
442.375,+5 MHz,CC2 NAC 386 RAN D115 / D115,KZ4FOX,Athens,GA,OPEN,FM DMR DSTAR NXDN P-25 Fusion,90.31,WSW,ON-AIR
440.6625,+5 MHz,CC0,KZ4FOX,Athens,GA,OPEN,DMR,90.33,WSW,ON-AIR
147.075,+0.6 MHz,88.5,KT4NC,Newton,NC,OPEN,FM,90.82,NNE,ON-AIR
442.625,+5 MHz,,KE4KIV,Newton,NC,OPEN,FM,90.82,NNE,ON-AIR
146.64,-0.6 MHz,71.9 / 71.9,K4BRK,"Waynesboro, Greens Cut",GA,OPEN,FM Fusion,90.86,S,ON-AIR
444.1,+5 MHz,,K4BRK,"Waynesboro, Greens Cut",GA,OPEN,DSTAR,90.86,S,ON-AIR
145.43,-0.6 MHz,156.7 / 156.7,WB4BZA,Wedgefield,SC,OPEN,FM,91.1,SE,ON-AIR
444.5,+5 MHz,,KK4BSA,"Clayton, Rainey Mountain",GA,OPEN,FM,91.23,WNW,ON-AIR
444.85,+5 MHz,100,KI4GMA,Canton,NC,OPEN,FM,91.5,NW,ON-AIR
147.12,+0.6 MHz,,K4KNS,Wrens,GA,OPEN,FM,92.09,SSW,ON-AIR
145.19,-0.6 MHz,,N2GE,"Asheville, Mount Mitchell",NC,OPEN,FM EchoLink,92.21,NNW,ON-AIR
224.54,-1.6 MHz,,N2GE,"Asheville, Mount Mitchell",NC,OPEN,FM,92.22,NNW,ON-AIR
147.12,+0.6 MHz,67,N4TS,"Clayton, Black Rock State Park",GA,OPEN,FM,92.39,WNW,ON-AIR
443.15,+5 MHz,127.3,W4WCR,"Clayton, Black Rock State Park",GA,OPEN,Fusion,92.39,WNW,ON-AIR
146.85,-0.6 MHz,,WA4PXV,Hickory,NC,OPEN,FM,92.4,NNE,ON-AIR
444,+5 MHz,,K4JEQ,Hickory,NC,OPEN,FM,92.4,NNE,ON-AIR
444.375,+5 MHz,107.2,KC4FM,Hickory,NC,OPEN,FM,92.4,NNE,ON-AIR
444.8,+5 MHz,94.8,KF4LUC,Hickory,NC,OPEN,FM,92.4,NNE,ON-AIR
441.875,+5 MHz,100.0 / 100.0,KN4OSY,Hickory,NC,OPEN,FM Fusion WIRES-X,92.42,NNE,ON-AIR
147.03,+0.6 MHz,156.7,KK4BQ,Barnwell,SC,OPEN,FM,92.69,SSE,ON-AIR
440.6875,+5 MHz,CC1,WR4SC,Barnwell,SC,OPEN,DMR,92.69,SSE,ON-AIR
442,+5 MHz,91.5,WR4SC,Barnwell,SC,OPEN,FM,92.69,SSE,ON-AIR
146.745,-0.6 MHz,123,KD4QHB,Athens,GA,OPEN,FM,93.18,WSW,ON-AIR
146.955,-0.6 MHz,123.0 / CSQ,KD4AOZ,Athens,GA,OPEN,FM,93.18,WSW,ON-AIR
147.375,+0.6 MHz,127.3 / 127.3,K4TQU,Athens,GA,OPEN,FM,93.18,WSW,ON-AIR
442.95,+5 MHz,179.9,N4ZRA,Athens,GA,OPEN,FM,93.18,WSW,ON-AIR
145.23,-0.6 MHz,71.9 / 71.9,K4BRK,"Waynesboro, Greens Cut",GA,OPEN,FM Fusion,93.23,S,ON-AIR
442.8,+5 MHz,71.9 / 71.9,K4BRK,"Waynesboro, Greens Cut",GA,OPEN,FM Fusion,93.23,S,ON-AIR
147.09,+0.6 MHz,186.2 / 100.0,K4EGA,Greensboro,GA,OPEN,FM,93.51,SW,ON-AIR
444.05,+5 MHz,D047,KJ4VKD,Clyde,NC,OPEN,FM,94.06,NW,ON-AIR
145.33,-0.6 MHz,156.7,WB4TGK,Bamberg,SC,OPEN,FM,94.23,SSE,OFF-AIR
444.975,+5 MHz,100,K4WCU,"Cullowhee, Western Carolina University",NC,OPEN,FM EchoLink IRLP,94.25,NW,ON-AIR
145.39,-0.6 MHz,123,W4LSG,"Clarkesville, Ivy Mountain",GA,OPEN,FM,94.45,W,ON-AIR
927.6625,-25 MHz,CC1,N4DTR,Waynesville,NC,OPEN,DMR,94.56,NW,ON-AIR
146.64,-0.6 MHz,156.7,W4GL,Sumter,SC,OPEN,FM,95.47,SE,OFF-AIR
224.12,-1.6 MHz,,W4GL,Sumter,SC,OPEN,FM,95.47,SE,ON-AIR
224.66,-1.6 MHz,,W4VFR,Sumter,SC,OPEN,FM,95.47,SE,ON-AIR
441.8375,+5 MHz,CC1,WR4SC,Sumter,SC,OPEN,DMR,95.47,SE,ON-AIR
444.15,+5 MHz,123.0 / 123.0,W4GL,Sumter,SC,OPEN,FM,95.47,SE,Unknown status
53.19,-1.0 MHz,100,KG4LGY,Alexander,NC,OPEN,FM,95.48,NNW,ON-AIR
147.18,+0.6 MHz,,WD4NHW,Baldwin,GA,OPEN,FM,95.56,W,ON-AIR
147.39,+0.6 MHz,CC1 94.8 / CSQ,N4DTR,"Waynesville, Chambers Mountain",NC,OPEN,FM DMR,95.82,NW,ON-AIR
444.45,+5 MHz,CC1,N4DTR,"Waynesville, Chambers Mtn",NC,OPEN,DMR,95.82,NW,ON-AIR
145.33,-0.6 MHz,123.0 / 123.0,KD4QHB,Athens,GA,OPEN,FM,96.87,WSW,ON-AIR
147.045,+0.6 MHz,123.0 / CSQ,KD4AOZ,Watkinsville,GA,OPEN,FM,97.2,WSW,ON-AIR
224.42,-1.6 MHz,123,KD4AOZ,Watkinsville,GA,OPEN,FM,97.2,WSW,ON-AIR
444.725,+5 MHz,123,KD4AOZ,Watkinsville,GA,OPEN,FM,97.2,WSW,ON-AIR
443.825,+5 MHz,110.9 / 110.9,WG8E,Mooresville,NC,OPEN,FM,97.27,NE,ON-AIR
144.98,+2.5 MHz,,KJ4PXY,Athens,GA,OPEN,DSTAR,97.64,WSW,Unknown status
440.6375,+5 MHz,,KJ4PXY,Athens,GA,OPEN,DSTAR,97.64,WSW,ON-AIR
146.655,-0.6 MHz,CSQ / CSQ,K4CEB,Concord,NC,OPEN,FM,97.96,NE,ON-AIR
147.21,+0.6 MHz,110.9 / 110.9,KD4ADL,Concord,NC,OPEN,FM,97.96,NE,Unknown status
442.525,+5 MHz,94.8,N2QJI,Concord,NC,OPEN,FM,97.96,NE,ON-AIR
444.25,+5 MHz,,W4ZO,Concord,NC,OPEN,FM,97.96,NE,ON-AIR
444.775,+5 MHz,110.9 / 110.9,KD4ADL,Concord,NC,OPEN,FM,97.96,NE,Unknown status
443.35,+5 MHz,136.5,K4WC,"Concord, Cabarrus Sheriff's Office",NC,OPEN,FM Fusion,98.02,NE,ON-AIR
443.3875,+5 MHz,CC1,KC4TVO,"Spruce Pine, Woody's Knob",NC,OPEN,DMR,98.33,N,ON-AIR
444.875,+5 MHz,131.8 / 131.8,K4RCC,"Waynesville, Sylva",NC,OPEN,FM IRLP,98.36,NW,Unknown status
145.49,-0.6 MHz,167.9,KF4RC,"Franklin, Cowee Bald",NC,OPEN,FM,98.66,WNW,ON-AIR
147.24,+0.6 MHz,151.4,W4GHZ,"Franklin, Wine Springs Bald",NC,OPEN,FM,98.66,WNW,ON-AIR
444.2,+5 MHz,CC1,W3WDD,Franklin,NC,OPEN,DMR,98.66,WNW,Unknown status
444.375,+5 MHz,CC1,N4DTR,"Franklin, Cowee Bald",NC,OPEN,DMR,98.66,WNW,ON-AIR
443.3,+5 MHz,D315 / D315,W4FTK,Sumter,SC,OPEN,FM AllStar EchoLink,98.83,SE,ON-AIR
147.345,+0.6 MHz,151.4 / 151.4,KF4DTL,"Sylva, Kings Mountain",NC,OPEN,FM,98.84,NW,ON-AIR
444.7,+5 MHz,131.8,K4RCC,Sylva,NC,OPEN,FM,98.84,NW,Unknown status
442.975,+5 MHz,CC1,W3WDD,"Sylva, Jackson County Library",NC,OPEN,DMR,98.92,NW,Unknown status
147.3,+0.6 MHz,136.5,N4JEX,Kannapolis,NC,OPEN,FM,99.91,NE,Unknown status
