Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
52.57,0 MHz,67,KW4BET,"Chester, Near Lewis Fire Department",SC,OPEN,FM AllStar EchoLink,45.36,E,ON-AIR
52.57,0 MHz,67,KW4BET,"Chester, Near Lewis Fire Department",SC,OPEN,FM AllStar EchoLink,45.36,E,ON-AIR
443.625,+5 MHz,162.2,N6WOX,Gaffney,SC,OPEN,FM,45.52,N,ON-AIR
443.25,+5 MHz,123,AI4JE,Iva,SC,OPEN,FM,46.38,WSW,ON-AIR
146.85,-0.6 MHz,91.5,WR4EC,Edgefield,SC,OPEN,FM,46.65,S,ON-AIR
147,+0.6 MHz,NAC 347,N4SCG,"Lexington, South Carolina",SC,OPEN,P-25,47.2,SE,ON-AIR
444,+5 MHz,118.8 / 118.8,KI4CCZ,Calhoun Falls,SC,OPEN,FM,48.72,WSW,ON-AIR
444.575,+5 MHz,103.5 / 103.5,KI4CCZ,Calhoun Falls,SC,OPEN,FM,48.72,WSW,ON-AIR
146.88,-0.6 MHz,,W4NYR,"Blacksburg, Whitaker Mountain",SC,OPEN,FM,49.44,NNE,ON-AIR
147.39,+0.6 MHz,156.7,KA4FEC,Lexington,SC,OPEN,FM,49.65,SE,ON-AIR
442.625,+5 MHz,107.2,KF4SCG,"Blacksburg, Whitaker Mtn",SC,OPEN,FM,50.58,NNE,ON-AIR
444.725,+5 MHz,110.9,KC4KPJ,Richburg,SC,OPEN,FM,50.61,E,ON-AIR
444.325,+5 MHz,,W4NYR,"Blacksburg, Whitaker Mountain",SC,OPEN,FM,50.82,NNE,ON-AIR
147.27,+0.6 MHz,110.9,N4HRS,York,SC,OPEN,FM,51.06,NE,ON-AIR
443.975,+5 MHz,103.5,N4VDE,Liberty,SC,OPEN,FM,51.18,WNW,ON-AIR
146.76,-0.6 MHz,D315 / D315,W4FTK,Richburg,SC,OPEN,FM AllStar EchoLink,51.53,E,ON-AIR
443.725,+5 MHz,NAC 293,KC4KPJ,Clover,SC,OPEN,P-25,51.83,NE,ON-AIR
443.375,+5 MHz,110.9,W4PSC,York,SC,OPEN,FM,52.18,NE,ON-AIR
147.195,+0.6 MHz,141.3 / 141.3,WX4PG,"Pickens, Glassy Mtn",SC,OPEN,FM AllStar EchoLink,53.65,NW,ON-AIR
442.3125,+5 MHz,CC1,WX4PG,"Pickens, Glassy Mt",SC,OPEN,DMR,53.65,NW,ON-AIR
147,-0.6 MHz,151.4,WB4YXZ,"Pickens, Glassy Mountain",SC,OPEN,FM,53.65,NW,ON-AIR
443.45,+5 MHz,110.9 / 100.0,AC4RZ,"Pickens, Glassy Mountain",SC,OPEN,FM,53.65,NW,ON-AIR
444.35,+5 MHz,127.3 / 127.3,KN4SWB,"Pickens, Glassy Mtn",SC,OPEN,FM,53.65,NW,ON-AIR
444.925,+5 MHz,CSQ / CSQ,N2PNE,"Landrum, NEAR Lake Lanier at approx.= 1350 feet asl.",SC,OPEN,FM,53.65,NW,ON-AIR
224.4,-1.6 MHz,131.8,WR4XM,"Pickens, Glassy Mountain",SC,OPEN,FM,53.65,NW,ON-AIR
145.49,-0.6 MHz,71.9 / 71.9,W4DV,"Trenton, SC",SC,OPEN,FM,54.27,S,ON-AIR
444.95,+5 MHz,71.9 / 71.9,W4DV,"Trenton, SC",SC,OPEN,FM,54.27,S,ON-AIR
443.65,+5 MHz,D315 / D315,W4FTK,Blythewood,SC,OPEN,FM AllStar EchoLink,54.31,SE,ON-AIR
147.03,-0.6 MHz,88.5 / 88.5,K4YTZ,Rock Hill,SC,OPEN,FM,54.98,E,ON-AIR
440.5125,+5 MHz,CC1,WR4SC,Rock Hill,SC,OPEN,DMR,54.98,E,ON-AIR
441.525,+5 MHz,162.2,WR4SC,Rock Hill,SC,OPEN,FM,54.98,E,ON-AIR
145.33,-0.6 MHz,91.5,KF4JVI,Tryon,NC,OPEN,FM,54.99,NNW,ON-AIR
147.285,+0.6 MHz,,W4RCW,"Tryon, White Oak Mountain",NC,OPEN,FM,55.08,NNW,ON-AIR
442.55,+5 MHz,107.2,KJ4SPF,Tryon,NC,OPEN,FM,55.08,NNW,ON-AIR
442.875,+5 MHz,,KK4LVF,Tryon,NC,OPEN,DSTAR,55.08,NNW,ON-AIR
